window,observed_months,observed_projects,zero_attack_project_version_groups,all_attacked_project_version_groups,largest_project_exposure_share,procedure,decision,question,justification,interpretation
24m,24,33,21,0,0.8684901803259327,Export consistency checks,retained_data_validation,"Counts, denominators, dates, keys and overlapping-window records reconcile.",Checks internal consistency only; does not independently verify event detection or SQL.,method_review_not_a_null_hypothesis_result
24m,24,33,21,0,0.8684901803259327,Observed rates and shape,retained_descriptive_comparison,Describe rates and adjacent-bin changes in the recorded sample.,No independence assumption is needed for arithmetic summaries; no population or causal inference follows.,method_review_not_a_null_hypothesis_result
24m,24,33,21,0,0.8684901803259327,Independent-trial binomial / contingency-table tests,withheld,Equal population attack probabilities across size bins.,Independent or otherwise justified trial sampling is not established by these aggregate exports.,method_review_not_a_null_hypothesis_result
24m,24,33,21,0,0.8684901803259327,Ordinary unclustered fixed-effect logistic Wald tests,withheld,Zero size coefficients or zero relative linear-time slopes.,Boundary-outcome project/version groups prevent a finite full ordinary-logistic MLE. This does not establish that every individual contrast is unidentified.,method_review_not_a_null_hypothesis_result
24m,24,33,21,0,0.8684901803259327,Project/version-clustered grouped-binomial fixed-effect Wald tests,implemented_model_based_complement,Jointly zero adjusted size coefficients and individual size-bin contrasts.,"Implemented as grouped-binomial regression-based association inference using observed Q5e cells only. Cluster independence/asymptotic adequacy remain assumptions and limitations, not facts established by the exports.",method_review_not_a_null_hypothesis_result
24m,24,33,21,0,0.8684901803259327,Project/version + month two-way clustered tests,implemented_robustness_only,Jointly zero adjusted size coefficients.,Implemented by inclusion-exclusion as a robustness specification. With few month clusters it remains approximate and is not treated as exact finite-sample inference.,method_review_not_a_null_hypothesis_result
24m,24,33,21,0,0.8684901803259327,Monthly-score HAC tests,withheld,Zero adjusted size coefficients or relative linear-time slopes.,Requires restrictions on temporal dependence and defensible bandwidth/reference calibration. The short monthly panel alone does not establish these.,method_review_not_a_null_hypothesis_result
24m,24,33,21,0,0.8684901803259327,Holm correction,not_a_validity_repair,Control familywise error across valid component tests.,Multiplicity adjustment does not repair unjustified component p-values.,method_review_not_a_null_hypothesis_result
24m,24,33,21,0,0.8684901803259327,Firth likelihood-based significance tests,withheld,Zero penalized-logistic size association.,Handling separation does not justify working-independent likelihood uncertainty for dependent market events.,method_review_not_a_null_hypothesis_result
24m,24,33,21,0,0.8684901803259327,Population inverted-U test,withheld,Increase followed by decrease over a specified size range.,Observed peaks and omnibus size differences do not test both shape restrictions; no justified shape-inference procedure is implemented.,method_review_not_a_null_hypothesis_result
24m,24,33,21,0,0.8684901803259327,Retail-to-bot subsidy / Lemons test,not_identified,Positive attributable transfer and the specified adverse-selection mechanism.,"Participant information status, attributable loss/profit and the mechanism outcome are not measured in these exports.",method_review_not_a_null_hypothesis_result
30m,30,35,22,0,0.8494957101017556,Export consistency checks,retained_data_validation,"Counts, denominators, dates, keys and overlapping-window records reconcile.",Checks internal consistency only; does not independently verify event detection or SQL.,method_review_not_a_null_hypothesis_result
30m,30,35,22,0,0.8494957101017556,Observed rates and shape,retained_descriptive_comparison,Describe rates and adjacent-bin changes in the recorded sample.,No independence assumption is needed for arithmetic summaries; no population or causal inference follows.,method_review_not_a_null_hypothesis_result
30m,30,35,22,0,0.8494957101017556,Independent-trial binomial / contingency-table tests,withheld,Equal population attack probabilities across size bins.,Independent or otherwise justified trial sampling is not established by these aggregate exports.,method_review_not_a_null_hypothesis_result
30m,30,35,22,0,0.8494957101017556,Ordinary unclustered fixed-effect logistic Wald tests,withheld,Zero size coefficients or zero relative linear-time slopes.,Boundary-outcome project/version groups prevent a finite full ordinary-logistic MLE. This does not establish that every individual contrast is unidentified.,method_review_not_a_null_hypothesis_result
30m,30,35,22,0,0.8494957101017556,Project/version-clustered grouped-binomial fixed-effect Wald tests,implemented_model_based_complement,Jointly zero adjusted size coefficients and individual size-bin contrasts.,"Implemented as grouped-binomial regression-based association inference using observed Q5e cells only. Cluster independence/asymptotic adequacy remain assumptions and limitations, not facts established by the exports.",method_review_not_a_null_hypothesis_result
30m,30,35,22,0,0.8494957101017556,Project/version + month two-way clustered tests,implemented_robustness_only,Jointly zero adjusted size coefficients.,Implemented by inclusion-exclusion as a robustness specification. With few month clusters it remains approximate and is not treated as exact finite-sample inference.,method_review_not_a_null_hypothesis_result
30m,30,35,22,0,0.8494957101017556,Monthly-score HAC tests,withheld,Zero adjusted size coefficients or relative linear-time slopes.,Requires restrictions on temporal dependence and defensible bandwidth/reference calibration. The short monthly panel alone does not establish these.,method_review_not_a_null_hypothesis_result
30m,30,35,22,0,0.8494957101017556,Holm correction,not_a_validity_repair,Control familywise error across valid component tests.,Multiplicity adjustment does not repair unjustified component p-values.,method_review_not_a_null_hypothesis_result
30m,30,35,22,0,0.8494957101017556,Firth likelihood-based significance tests,withheld,Zero penalized-logistic size association.,Handling separation does not justify working-independent likelihood uncertainty for dependent market events.,method_review_not_a_null_hypothesis_result
30m,30,35,22,0,0.8494957101017556,Population inverted-U test,withheld,Increase followed by decrease over a specified size range.,Observed peaks and omnibus size differences do not test both shape restrictions; no justified shape-inference procedure is implemented.,method_review_not_a_null_hypothesis_result
30m,30,35,22,0,0.8494957101017556,Retail-to-bot subsidy / Lemons test,not_identified,Positive attributable transfer and the specified adverse-selection mechanism.,"Participant information status, attributable loss/profit and the mechanism outcome are not measured in these exports.",method_review_not_a_null_hypothesis_result
